piste.name,piste.created_at,piste.updated_at,sample.state,sample.created_at,sample.updated_at
Cabane,2017-11-18 14:14:37 UTC,2017-11-18 14:14:37 UTC,open,2018-12-17 10:03:28 UTC,2018-12-17 10:03:28 UTC
Gentianes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-17 10:03:28 UTC,2018-12-17 10:03:28 UTC
Gentianes - La Chaux,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-17 10:03:29 UTC,2018-12-17 10:03:29 UTC
Mt - Fort,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-17 10:03:29 UTC,2018-12-17 10:03:29 UTC
Cabane,2017-11-18 14:14:37 UTC,2017-11-18 14:14:37 UTC,open,2018-12-18 07:12:35 UTC,2018-12-18 07:12:35 UTC
Gentianes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-18 07:12:35 UTC,2018-12-18 07:12:35 UTC
Gentianes - La Chaux,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-18 07:12:35 UTC,2018-12-18 07:12:35 UTC
Mt - Fort,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-18 07:12:35 UTC,2018-12-18 07:12:35 UTC
Gentianes - Tortin,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-18 07:12:35 UTC,2018-12-18 07:12:35 UTC
Chaux bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-08 07:12:30 UTC,2018-12-08 07:12:30 UTC
Chaux bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2018-12-09 12:04:13 UTC,2018-12-09 12:04:13 UTC
Lacs bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-11-11 16:12:26 UTC,2018-11-11 16:12:26 UTC
Lacs bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-05 07:12:29 UTC,2018-12-05 07:12:29 UTC
Lacs bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-06 07:12:33 UTC,2018-12-06 07:12:33 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-03 09:03:44 UTC,2018-12-03 09:03:44 UTC
Lacs rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-11-11 16:12:26 UTC,2018-11-11 16:12:26 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-05 07:12:29 UTC,2018-12-05 07:12:29 UTC
Lacs bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-08 07:12:30 UTC,2018-12-08 07:12:30 UTC
Lacs rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-05 07:12:29 UTC,2018-12-05 07:12:29 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-06 07:12:33 UTC,2018-12-06 07:12:33 UTC
Chaux bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-11 08:04:25 UTC,2018-12-11 08:04:25 UTC
Lacs rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-06 07:12:33 UTC,2018-12-06 07:12:33 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-08 07:12:30 UTC,2018-12-08 07:12:30 UTC
Lacs bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2018-12-09 12:04:13 UTC,2018-12-09 12:04:13 UTC
Lacs rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-08 07:12:30 UTC,2018-12-08 07:12:30 UTC
Chaux rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-08 07:12:30 UTC,2018-12-08 07:12:30 UTC
Chaux bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-14 07:12:34 UTC,2018-12-14 07:12:34 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2018-12-09 12:04:14 UTC,2018-12-09 12:04:14 UTC
Lacs bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-11 08:04:25 UTC,2018-12-11 08:04:25 UTC
Lacs noire,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-08 07:12:30 UTC,2018-12-08 07:12:30 UTC
Lacs rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2018-12-09 12:04:14 UTC,2018-12-09 12:04:14 UTC
Chaux rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2018-12-09 12:04:14 UTC,2018-12-09 12:04:14 UTC
Cabane,2017-11-18 14:14:37 UTC,2017-11-18 14:14:37 UTC,in_preparation,2018-12-18 15:32:27 UTC,2018-12-18 15:32:27 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-11 08:04:25 UTC,2018-12-11 08:04:25 UTC
Lacs bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-14 07:12:34 UTC,2018-12-14 07:12:34 UTC
Lacs noire,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2018-12-09 12:04:14 UTC,2018-12-09 12:04:14 UTC
Lacs rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-11 08:04:25 UTC,2018-12-11 08:04:25 UTC
Chaux rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2018-12-11 08:04:25 UTC,2018-12-11 08:04:25 UTC
Gentianes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2018-12-18 15:32:27 UTC,2018-12-18 15:32:27 UTC
